Epoch,Scenario,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7577,1.0,0.9695,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.684,1.0,0.9672,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6327,1.0,0.9655,True,Inactivity timer expired,True,5
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5
1,Legitimate Travel,phone,Idle,0.0968,0.9032,0.98,0.0701,0.0861,False,trust-compliant,False,
1,Legitimate Travel,laptop,Idle,0.0992,0.9008,0.98,0.0439,0.0771,False,trust-compliant,False,
2,Legitimate Travel,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.6422,1.0,0.9658,False,trust-compliant,False,
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5342,1.0,0.9621,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4677,1.0,0.9596,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4267,1.0,0.958,True,Inactivity timer expired,True,5
1,Legitimate Travel,phone,Idle,0.0603,0.9397,0.98,0.0771,0.067,False,trust-compliant,False,
1,Legitimate Travel,laptop,Idle,0.1259,0.8741,0.98,0.0258,0.0858,False,trust-compliant,False,
2,Legitimate Travel,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.7577,1.0,0.9695,False,trust-compliant,False,
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.6053,1.0,0.9646,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6892,1.0,0.9674,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5115,1.0,0.9613,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6363,1.0,0.9657,True,Inactivity timer expired,True,5
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4537,1.0,0.9591,True,Inactivity timer expired,True,5
1,Short Inactivity,phone,Idle,0.1185,0.8815,0.98,0.0174,0.078,False,trust-compliant,False,
1,Short Inactivity,laptop,Idle,0.1146,0.8854,0.98,0.0684,0.0961,False,trust-compliant,False,
2,Short Inactivity,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Short Inactivity,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Short Inactivity,phone,High-Risk,1.0,0.0,0.6881,1.0,0.9673,False,trust-compliant,False,
3,Short Inactivity,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Short Inactivity,phone,High-Risk,1.0,0.0,0.6355,1.0,0.9656,False,trust-compliant,False,
4,Short Inactivity,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Short Inactivity,phone,High-Risk,1.0,0.0,0.5989,1.0,0.9644,True,Inactivity timer expired,True,5
5,Short Inactivity,laptop,High-Risk,1.0,0.0,0.4655,1.0,0.9595,True,Inactivity timer expired,True,5
1,Short Inactivity,phone,Normal,0.0677,0.9323,1.0,0.0369,0.0554,False,trust-compliant,False,
1,Short Inactivity,laptop,Idle,0.1242,0.8758,0.98,0.0129,0.0797,False,trust-compliant,False,
2,Short Inactivity,phone,High-Risk,1.0,0.0,0.87,1.0,0.9726,False,trust-compliant,False,
2,Short Inactivity,laptop,High-Risk,1.0,0.0,0.7577,1.0,0.9695,False,trust-compliant,False,
3,Short Inactivity,phone,High-Risk,1.0,0.0,0.7795,1.0,0.9701,False,trust-compliant,False,
3,Short Inactivity,laptop,High-Risk,1.0,0.0,0.6053,1.0,0.9646,False,trust-compliant,False,
4,Short Inactivity,phone,High-Risk,1.0,0.0,0.6991,1.0,0.9677,False,trust-compliant,False,
4,Short Inactivity,laptop,High-Risk,1.0,0.0,0.5115,1.0,0.9613,False,trust-compliant,False,
5,Short Inactivity,phone,High-Risk,1.0,0.0,0.6432,1.0,0.9659,True,Inactivity timer expired,True,5
5,Short Inactivity,laptop,High-Risk,1.0,0.0,0.4691,1.0,0.9597,True,Inactivity timer expired,True,5
1,Short Inactivity,phone,Idle,0.0597,0.9403,0.98,0.0323,0.0488,False,trust-compliant,False,
1,Short Inactivity,laptop,Idle,0.115,0.885,0.98,0.0698,0.0969,False,trust-compliant,False,
2,Short Inactivity,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Short Inactivity,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Short Inactivity,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Short Inactivity,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Short Inactivity,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Short Inactivity,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Short Inactivity,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Short Inactivity,laptop,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5
1,Short Inactivity,phone,Idle,0.0967,0.9033,0.98,0.017,0.0648,False,trust-compliant,False,
1,Short Inactivity,laptop,Idle,0.1489,0.8511,0.98,0.0405,0.1055,False,trust-compliant,False,
