Epoch,AttackerStrategy,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,DetectionTime
5,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
5,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.456,1.0,0.9591,True,Inactivity timer expired,True,5,-1
10,MIMIC,rogue_laptop,Idle,0.1546,0.8454,0.98,0.218,0.1768,False,trust-compliant,False,,-1
11,MIMIC,rogue_laptop,Normal,0.0,1.0,0.9723,1.0,0.8977,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,MIMIC,user_0_phone,Idle,0.058,0.942,0.98,0.0429,0.052,False,trust-compliant,False,,-1
1,MIMIC,user_0_laptop_1,Normal,0.0564,0.9436,1.0,0.0367,0.0485,False,trust-compliant,False,,-1
2,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.77,1.0,0.9698,False,trust-compliant,False,,-1
3,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.7577,1.0,0.9695,False,trust-compliant,False,,-1
3,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.6283,1.0,0.9654,False,trust-compliant,False,,-1
4,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.684,1.0,0.9672,False,trust-compliant,False,,-1
4,MIMIC,user_0_laptop_1,High-Risk,1.0,0.0,0.5256,1.0,0.9618,False,trust-compliant,False,,-1
5,MIMIC,user_0_phone,High-Risk,1.0,0.0,0.6327,1.0,0.9655,True,Inactivity timer expired,True,5,-1
